FIELD_1,FIELD_2,經,緯,FIELD_5,FIELD_6,FIELD_7,X,Y
??????????????????,[111]?????????????????�?????????????????????1???101???,121.5382081500,25.1046040970,"248","133","115",304281.1572200000,2777471.9523999998
??????????????????,[112]?????????????????�??????????????????50???,121.5045687700,25.1399575590,"1020","511","509",300873.7462200000,2781374.8287999998
??????????????????,[112]?????????????????�??????????????????200???,121.5220640900,25.1129710090,"95","51","44",302649.3291100000,2778392.3330000001
??????????????????,[110]?????????????????�?????????655???,121.5801639600,25.0348296320,"64","50","14",308545.8748500000,2769760.8006000002
??????????????????,[110]?????????????????�????????????5???236???15???,121.5720411400,25.0398524940,"418","280","138",307723.8104000000,2770313.6746999999
??????????????????,[106]?????????????????�?????????????????????2???52???,121.5433033300,25.0319722530,"430","310","120",304827.3661500000,2769428.8684000000
??????????????????,[116]?????????????????�??????????????????4???77???,121.5718761400,24.9958879930,"421","252","169",307727.7168200000,2765443.8480000002
??????????????????,[115]?????????????????�??????????????????29???,121.6071919400,25.0563347020,"337","208","129",311262.7165400000,2772154.8020000001
??????????????????,[114]?????????????????�??????????????????1???520???,121.5754477600,25.0797369530,"65","65","0",308048.7809300000,2774732.9859000002
??????????????????,[111]?????????????????�??????????????????150???,121.5163469500,25.0949923460,"72","32","40",302080.3696600000,2776398.6863000002
??????????????????,[105]?????????????????�??????????????????12???,121.5543490000,25.0496395170,"114","55","59",305934.0470000000,2771390.3144999999
??????????????????,[106]?????????????????�???????????????186???8???,121.5514914800,25.0321448280,"0","0","0",305653.6108300000,2769451.3243000000
??????????????????,[106]?????????????????�?????????2???172???,121.5547719300,25.0265567770,"0","0","0",305987.1986600000,2768833.7127999999
??????????????????,[106]?????????????????�????????????2???148???24???,121.5423997300,25.0285323780,"0","0","0",304737.7045400000,2769047.4835000001
??????????????????,[104]?????????????????�??????????????????55???,121.5285824600,25.0653740090,"0","0","0",303327.3330700000,2773122.7533000000
??????????????????,[100]?????????????????�?????�????????????1???6???,121.5218372300,25.0424174080,"69","61","8",302656.6193600000,2770577.3092000000
??????????????????,[103]?????????????????�?????????????????????225???24???,121.5120393300,25.0643403510,"0","0","0",301658.7433800000,2773001.8382000001
??????????????????,[111]?????????????????�?????????73???8???,121.5489529500,25.1370674120,"0","0","0",305350.2221800000,2781072.1749999998
??????????????????,[112]?????????????????�?????????221???,121.5270530900,25.1445150620,"0","0","0",303138.8222500000,2781888.3202000000
