district,type,name,address,tel,website,twd97E,twd97N,update_date
三芝區,衛生機關,新北市三芝區衛生所,新北市三芝區埔頭里中山路一段12號,02-26364850,sanzhi.health.ntpc.gov.tw,300441.0,2794496.0,"2015-02-24 06:00:00.297"
三芝區,消防機關,新北市三芝消防分隊,新北市三芝區埔頭里中山路一段10號,02-26362457,www.fire.ntpc.gov.tw,300426.611319,2794508.48774,"2015-02-24 06:00:00.297"
三芝區,其他機關,三芝區農會,新北市三芝區中山路一段6號,02-26363111,www.3g.org.tw/,300494.0,2794478.0,"2015-02-24 06:00:00.297"
三芝區,警察機關,後厝派出所,新北市三芝區後厝里北勢子45之32號,02-26362052,www.tamsui.police.ntpc.gov.tw,297306.0,2793676.0,"2015-02-24 06:00:00.297"
三芝區,警察機關,興華派出所,新北市三芝區興華里田心子1號,02-26371425,www.tamsui.police.ntpc.gov.tw,300594.0,2788527.0,"2015-02-24 06:00:00.297"
三芝區,警察機關,三芝分駐所,新北市三芝區埔頭里育英街27號,02-26362049,www.tamsui.police.ntpc.gov.tw,300486.0,2794402.0,"2015-02-24 06:00:00.297"
三芝區,公所,三芝區公所,新北市三芝區中山路一段32號,02-26362111,www.sanzhi.ntpc.gov.tw,300476.902,2794431.001,"2015-02-24 06:00:00.297"
三芝區,其他機關,新北市三芝區調解委員會,新北市三芝區中山路1段32號,02-26362111#74,,300473.386654,2794342.501238,"2015-02-24 06:00:00.297"
三芝區,大專院校,私立馬偕醫護管理專科學校三芝校區,新北市三芝區中正路三段42號,02-26366799,www.mkc.edu.tw,300106.988,2793778.017,"2015-02-24 06:00:00.297"
三芝區,國民小學,市立三芝國小,新北市三芝區埔頭里育英街22號,02-26362005,www.sces.ntpc.edu.tw,300601.792803,2794396.59835,"2015-02-24 06:00:00.297"
三芝區,國民小學,市立橫山國小,新北市三芝區橫山里86號,02-26362473,www.hses.ntpc.edu.tw,303394.851496,2794534.57634,"2015-02-24 06:00:00.297"
三芝區,國民小學,市立興華國小,新北市三芝區興華里5號,02-26371336,www.hhes.ntpc.edu.tw,300532.789664,2788460.7325,"2015-02-24 06:00:00.297"
三芝區,國民中學,市立三芝國中,新北市三芝區淡金路一段38號,02-26361807,www.szjh.ntpc.edu.tw,300492.787844,2794634.59297,"2015-02-24 06:00:00.297"
三芝區,大專院校,私立馬偕醫專三芝校區,新北市三芝區中正路三段42號,02-26366799,www.mkc.edu.tw,300106.988497,2793778.01721,"2015-02-24 06:00:00.297"
三芝區,公共親子中心,三芝芝櫻公共親子中心,新北市三芝區育英街22號,02-26362005分機140,NULL,300529.202434,2794435.51592,"2015-02-24 06:00:00.297"
金山區,戶政機關,新北市金山戶政事務所,新北市金山區民生路67號,02-24982059,www.jinsan.ris.ntpc.gov.tw,314532.074,2790318.853,"2015-02-24 06:00:00.297"
金山區,衛生機關,新北市金山區衛生所,新北市金山區大同里民生路59號,02-24982778,jinshan.health.ntpc.gov.tw,314604.0,2790351.0,"2015-02-24 06:00:00.297"
金山區,消防機關,新北市金山消防分隊,新北市金山區五湖里南勢54號,02-24982519,www.fire.ntpc.gov.tw,313296.23284,2790400.14592,"2015-02-24 06:00:00.297"
金山區,其他機關,金山地區農會,新北市金山區中山路267號,02-24981100,,314461.0,2790260.0,"2015-02-24 06:00:00.297"
金山區,其他機關,金山區漁會,新北市金山區磺港里磺港54號,02-24981141,,315383.0,2791278.0,"2015-02-24 06:00:00.297"
金山區,警察機關,金山分局,新北市金山區大同里民生路65號,02-24986544,www.jinshan.police.ntpc.gov.tw/,314569.0,2790350.0,"2015-02-24 06:00:00.297"
金山區,警察機關,中角派出所,新北市金山區永興里濆水7-2號,02-24982136,www.jinshan.police.ntpc.gov.tw,313585.321898513,2795024.56270319,"2015-02-24 06:00:00.297"
金山區,警察機關,重光派出所,新北市金山區重和里茅埔頭8號,02-24080470,www.jinshan.police.ntpc.gov.tw,310876.0,2789909.0,"2015-02-24 06:00:00.297"
金山區,警察機關,金山派出所,新北市金山區大同里民生路65號,02-24982009,www.jinshan.police.ntpc.gov.tw/,314558.0,2790343.0,"2015-02-24 06:00:00.297"
金山區,警察機關,金山交通分隊,新北市金山區金山區磺港路171之1號,02-24986538,www.jinshan.police.ntpc.gov.tw/,314885.0,2790761.0,"2015-02-24 06:00:00.297"
金山區,公所,金山區公所,新北市金山區中正路11號,02-24985965,www.jinshan.ntpc.gov.tw,314147.467,2790544.7,"2015-02-24 06:00:00.297"
金山區,其他機關,新北市金山區調解委員會,新北市金山區中正路11號,02-24984333,,313920.968788,2790512.99108,"2015-02-24 06:00:00.297"
金山區,教育研究機構,中華佛學研究所,新北市金山區三界里14之5號,02-24987171,www.chibs.edu.tw,311840.666041,2792481.72085,"2015-02-24 06:00:00.297"
金山區,國民小學,市立三和國小,新北市金山區重和里六股林38號,02-24080417,www.sanho.ntpc.edu.tw,310733.01988,2790154.84578,"2015-02-24 06:00:00.297"
金山區,國民小學,市立中角國小,新北市金山區萬壽里海興路49號,02-24987413,www.jjps.ntpc.edu.tw,313497.842611,2792514.86132,"2015-02-24 06:00:00.297"
金山區,國民小學,市立金山國小,新北市金山區美田里金包里街180號,02-24981125,www.ntpcses.ntpc.edu.tw,314144.835038,2790704.75813,"2015-02-24 06:00:00.297"
金山區,國民小學,市立金美國小,新北市金山區忠孝一路111號,02-24986503,www.gmes.ntpc.edu.tw,314082.83559,2790383.76147,"2015-02-24 06:00:00.297"
金山區,高中職,市立金山高中,新北市金山區美田里文化二路2號,02-24982028,www.cshs.ntpc.edu.tw,314218.83438,2790834.75678,"2015-02-24 06:00:00.297"
金山區,公共親子中心,金山金包里公共親子中心,新北市金山區中山路234號,02-24981125分機210,NULL,314134.664468,2790625.48809,"2015-02-24 06:00:00.297"
淡水區,公所,淡水區公所第二辦公室,新北市淡水區中正路320號,02-26282616,www.tamsui.gov.twindex.php,294015.971,2784990.131,"2015-02-24 06:00:00.297"
淡水區,公所,淡水區公所,新北市淡水區中正路65號,02-26221020,www.tamsui.ntpc.gov.tw,294457.091,2784623.705,"2015-02-24 06:00:00.297"
淡水區,戶政機關,新北市淡水戶政事務所,新北市淡水區中正路227號,02-26232830,www.tamsui.ris.ntpc.gov.tw,294027.106,2784949.827,"2015-02-24 06:00:00.297"
淡水區,衛生機關,新北市淡水區衛生所,新北市淡水區中山路158號,02-26215620,tamsui.health.ntpc.gov.tw,294434.0,2784988.0,"2015-02-24 06:00:00.297"
淡水區,消防機關,新北市淡水消防分隊,新北市淡水區新生街29號,02-26210140,www.fire.ntpc.gov.tw,294325.945918,2785229.70677,"2015-02-24 06:00:00.297"
淡水區,消防機關,新北市竹圍消防分隊,新北市淡水區中正東路一段125號,02-26212140,www.fire.ntpc.gov.tw,295918.359319,2783529.78435,"2015-02-24 06:00:00.297"
淡水區,其他機關,淡水區農會,新北市淡水區中正路42之1號,02-26202290,,294757.0,2784612.0,"2015-02-24 06:00:00.297"
淡水區,其他機關,淡水區漁會,新北市淡水區觀海路199號,02-28055000,,291111.0,2786480.0,"2015-02-24 06:00:00.297"
淡水區,警察機關,淡水分局,新北市淡水區新生里中正路229號,02-26212069,www.tamsui.police.ntpc.gov.tw,294013.0,2784956.0,"2015-02-24 06:00:00.297"
五股區,國民小學,市立德音國小,新北市五股區明德路2號,02-22924152,www.tyes.ntpc.edu.tw,293866.687732,2773810.0166,"2015-02-24 06:00:00.297"
淡水區,警察機關,水源派出所,新北市淡水區水源里北新路二段19號,02-26200534,www.tamsui.police.ntpc.gov.tw,298187.0,2786450.0,"2015-02-24 06:00:00.297"
淡水區,警察機關,興仁派出所,新北市淡水區興仁里興仁路93號,02-26236399,www.tamsui.police.ntpc.gov.tw,295537.0,2789971.0,"2015-02-24 06:00:00.297"
淡水區,警察機關,賢孝派出所,新北市淡水區賢孝里淡金路五段72號,02-28011505,www.tamsui.police.ntpc.gov.tw,295817.0,2791719.0,"2015-02-24 06:00:00.297"
淡水區,警察機關,中正路派出所,新北市淡水區新生里中正路318之1號,02-26212752,www.tamsui.police.ntpc.gov.tw,294026.0,2784984.0,"2015-02-24 06:00:00.297"
淡水區,警察機關,中山路派出所,新北市淡水區中正東路40號,02-26212753,www.tamsui.police.ntpc.gov.tw,295304.0,2784163.0,"2015-02-24 06:00:00.297"
淡水區,警察機關,竹圍派出所,新北市淡水區竹圍里民權路32號,02-28092831,www.tamsui.police.ntpc.gov.tw,296356.0,2781075.0,"2015-02-24 06:00:00.297"
淡水區,警察機關,水碓派出所,新北市淡水區中山北路一段160號,02-26212491,www.tamsui.police.ntpc.gov.tw,294778.0,2785594.0,"2015-02-24 06:00:00.297"
淡水區,警察機關,淡水交通分隊,新北市淡水區中正東路40號,02-26225791,www.tamsui.police.ntpc.gov.tw,295320.0,2784156.0,"2015-02-24 06:00:00.297"
淡水區,地政機關,新北市淡水地政事務所,新北市淡水區新生里中正路233號,02-26219645,www.tamsui.land.ntpc.gov.tw,293927.0,2785010.0,"2015-02-24 06:00:00.297"
淡水區,其他機關,新北市淡水區調解委員會,新北市淡水區中山北路1段158號5樓,02-26297466,,294710.558877,2785694.270039,"2015-02-24 06:00:00.297"
淡水區,衛生機關,行政院農業委員會家畜衛生試驗所,新北市淡水區中正路376號,02-26212111,www.nvri.gov.tw,293560.0,2785338.0,"2015-02-24 06:00:00.297"
淡水區,公所,淡水區公所水碓辦公室,新北市淡水區中山北路一段158號,02-26297466,www.tamsui.gov.twindex.php,294434.206,2784988.7,"2015-02-24 06:00:00.297"
淡水區,稅捐機關,新北市政府稅捐稽徵處淡水分處,新北市淡水區中正路229之10號,02-26212001,www.tax.ntpc.gov.tw/web/SG?pageID=27818,293984.766694,2784974.71061,"2015-02-24 06:00:00.297"
淡水區,稅捐機關,財政部北區國稅局淡水稽徵所第一辦公室,新北市淡水區新生里中正路229之10號1樓,02-26251532,www.ntbna.gov.tw,293977.977888,2784979.86616,"2015-02-24 06:00:00.297"
淡水區,稅捐機關,財政部北區國稅局淡水稽徵所第二辦公室,新北市淡水區中正路199號1樓,02-26283266,www.ntbna.gov.tw,294282.484922,2784711.59887,"2015-02-24 06:00:00.297"
淡水區,醫療中心,馬偕醫院淡水分院,新北市淡水區民生路45號,02-28094661,,296429.8,2781311.1,"2015-02-24 06:00:00.297"
淡水區,國民小學,市立新市國小,新北市淡水區中山北路二段200號,02-26262141,www.xses.ntpc.edu.tw,294800.0,2786456.0,"2015-02-24 06:00:00.297"
淡水區,完全中學,私立淡江高中,新北市淡水區真理街26號,02-26203850,www.tksh.ntpc.edu.tw,293926.829262,2785378.37863,"2015-02-24 06:00:00.297"
淡水區,教育研究機構,台灣綜合研究院,新北市淡水區中正東路二段27號29樓,02-88095688,www.tri.org.tw,296309.088978,2783211.62129,"2015-02-24 06:00:00.297"
淡水區,教育研究機構,美國基督教效力會基督書院,新北市淡水區自強路51號,02-28097661,www.christc.org.tw,296500.039,2780337.336,"2015-02-24 06:00:00.297"
淡水區,教育研究機構,財團法人聯合船舶設計發展中心淡水辦公室,新北市淡水區中正東路二段27號14樓,02-28085899,www.usddc.org.tw,296303.06,2783217.65,"2015-02-24 06:00:00.297"
淡水區,大專院校,私立台北海洋技術學院淡水校區,新北市淡水區濱海路三段150號,02-28102292,www.tcmt.edu.tw,292975.208,2787120.309,"2015-02-24 06:00:00.297"
淡水區,大專院校,私立真理大學淡水校區,新北市淡水區真理街32號,02-26212121,www.au.edu.tw,293807.158481,2785380.81089,"2015-02-24 06:00:00.297"
淡水區,大專院校,私立淡江大學淡水校園,新北市淡水區英專路151號,02-26215656,www.tku.edu.tw,295264.724775,2785205.35539,"2015-02-24 06:00:00.297"
淡水區,大專院校,私立聖約翰科技大學,新北市淡水區淡金路四段499號,02-28013131,www.sju.edu.tw,295333.743,2791001.475,"2015-02-24 06:00:00.297"
淡水區,國民小學,市立中泰國小,新北市淡水區中和里北勢子5號,02-28012033,www.ctps.ntpc.edu.tw,298804.71742,2790738.77359,"2015-02-24 06:00:00.297"
淡水區,國民小學,市立天生國小,新北市淡水區淡海路72巷26號,02-28052695,web.tisnes.ntpc.edu.tw,292844.911605,2785934.61773,"2015-02-24 06:00:00.297"
淡水區,國民小學,市立屯山國小,新北市淡水區淡金路五段111號,02-26214591,www.ttses.ntpc.edu.tw,295928.715693,2792155.06869,"2015-02-24 06:00:00.297"
淡水區,國民小學,市立文化國小,新北市淡水區文化里真理街6號,02-26212031,www.twhps.ntpc.edu.tw,294086.819128,2785184.55058,"2015-02-24 06:00:00.297"
淡水區,國民小學,市立水源國小,新北市淡水區水源里北新路二段之5號,02-26211347,www.hyes.ntpc.edu.tw,298027.70561,2786466.84152,"2015-02-24 06:00:00.297"
淡水區,國民小學,市立竹圍國小,新北市淡水區中正東路二段145號,02-28091475,www.cwps.ntpc.edu.tw,296396.706817,2782145.1381,"2015-02-24 06:00:00.297"
淡水區,國民小學,市立竹圍國小自強分校,新北市淡水區自強路33號,02-28093245,,296764.698279,2779758.10516,"2015-02-24 06:00:00.297"
淡水區,國民小學,市立育英國小,新北市淡水區埤島里14號,02-26214390,www.yies.ntpc.edu.tw,294855.766786,2787731.22386,"2015-02-24 06:00:00.297"
淡水區,國民小學,市立坪頂國小,新北市淡水區坪頂里小坪頂18號,02-86263105,www.pdes.ntpc.edu.tw,298779.71704,2783395.89035,"2015-02-24 06:00:00.297"
淡水區,國民小學,市立忠山國小,新北市淡水區忠山里椿子林16之8號,02-26216139,www.tcses.ntpc.edu.tw,298386.711066,2788070.81602,"2015-02-24 06:00:00.297"
淡水區,國民小學,市立淡水國小,新北市淡水區協元里中山路160號,02-26212755,www.tsps.ntpc.edu.tw,294522.788998,2785090.54773,"2015-02-24 06:00:00.297"
淡水區,國民小學,市立新興國小,新北市淡水區新興街123號,02-26203646,www.shes.ntpc.edu.tw,294325.802612,2785803.56934,"2015-02-24 06:00:00.297"
淡水區,國民小學,市立鄧公國小,新北市淡水區鄧公里學府路99號,02-26297121,www.dkes.ntpc.edu.tw,295259.746991,2784886.34432,"2015-02-24 06:00:00.297"
淡水區,國民小學,市立興仁國小,新北市淡水區興仁路101巷10號,02-26213783,www.shrens.ntpc.edu.tw,295433.737316,2789924.45213,"2015-02-24 06:00:00.297"
淡水區,國民中學,市立正德國中,新北市淡水區北新路109號,02-26205136,www.jdjh.ntpc.edu.tw,295112.755165,2785691.36154,"2015-02-24 06:00:00.297"
淡水區,國民中學,市立正德國中賢孝校區,新北市淡水區後洲子11號,02-28011146,www.jdjh.ntpc.edu.tw,295024.760058,2790856.47207,"2015-02-24 06:00:00.297"
淡水區,高中職,市立竹圍高中,新北市淡水區竹林路35號,02-28091567,www.twjh.ntpc.edu.tw,296544.703383,2782036.1366,"2015-02-24 06:00:00.297"
淡水區,國民中學,市立淡水國中,新北市淡水區文化里真理街10號,02-26215915,www.tsjh.ntpc.edu.tw,294017.823896,2785270.55319,"2015-02-24 06:00:00.297"
淡水區,高中職,市立淡水商工,新北市淡水區商工路307號,02-26203930,www.tsvs.ntpc.edu.tw,295684.723,2786753.384,"2015-02-24 06:00:00.297"
淡水區,大專院校,私立台北海院淡水校區,新北市淡水區濱海路三段150號,02-28102292,www.tcmt.edu.tw,292975.208083,2787120.30946,"2015-02-24 06:00:00.297"
淡水區,大專院校,私立聖約翰科大,新北市淡水區淡金路四段499號,02-28013131,www.sju.edu.tw,295333.742877,2791001.47517,"2015-02-24 06:00:00.297"
淡水區,教育研究機構,基督書院,新北市淡水區自強路51號,02-28097661,www.christc.org.tw,296500.039294,2780337.33552,"2015-02-24 06:00:00.297"
淡水區,教育研究機構,聯合船舶設計發展中心淡水辦公室,新北市淡水區中正東路二段27號14樓,02-28085899,www.usddc.org.tw,296303.059858,2783217.65043,"2015-02-24 06:00:00.297"
淡水區,捷運站,捷運竹圍站,新北市淡水區民權路50號,02-21812345,www.trtc.com.tw,296326.47735718,2781052.07058906,"2015-02-24 06:00:00.297"
淡水區,捷運站,捷運紅樹林站,新北市淡水區中正東路二段68號,02-21812345,www.trtc.com.tw,296259.64939372,2782899.72516652,"2015-02-24 06:00:00.297"
淡水區,捷運站,捷運淡水站,新北市淡水區中正路1號,02-21812345,www.trtc.com.tw,294838.15614862,2784496.30259808,"2015-02-24 06:00:00.297"
萬里區,戶政機關,新北市金山戶政事務所萬里區所,新北市萬里區瑪鋉路85之2號2樓,02-24922063,www.wanli.ris.ntpc.gov.tw,319423.385,2785570.795,"2015-02-24 06:00:00.297"
萬里區,衛生機關,新北市萬里區衛生所,新北市萬里區瑪鋉路157號,02-24921117,wanli.health.ntpc.gov.tw,319520.0,2785708.0,"2015-02-24 06:00:00.297"
萬里區,消防機關,新北市萬里消防分隊,新北市萬里區景美16號,02-24922739,www.fire.ntpc.gov.tw,319231.520126,2785188.2284,"2015-02-24 06:00:00.297"
萬里區,其他機關,萬里區漁會,新北市萬里區野柳里港西56-1號,02-24921180,,319102.0,2788491.0,"2015-02-24 06:00:00.297"
萬里區,警察機關,崁腳派出所,新北市萬里區崁腳里崁腳路38號,02-24922740,www.jinshan.police.ntpc.gov.tw,315598.0,2783700.0,"2015-02-24 06:00:00.297"
萬里區,警察機關,野柳派出所,新北市萬里區野柳里港西路9號,02-24922510,www.jinshan.police.ntpc.gov.tw,319013.0,2788511.0,"2015-02-24 06:00:00.297"
萬里區,警察機關,大鵬派出所,新北市萬里區大鵬里加投路81號,02-24982475,www.jinshan.police.ntpc.gov.tw,315162.0,2789468.0,"2015-02-24 06:00:00.297"
萬里區,警察機關,萬里分駐所,新北市萬里區瑪鋉路153號,02-24922122,www.jinshan.police.ntpc.gov.tw,319513.0,2785685.0,"2015-02-24 06:00:00.297"
萬里區,警察機關,保安第二總隊第二大隊第三中隊,新北市萬里區野柳里八斗60號,02-24982844,,317782.0,2788027.0,"2015-02-24 06:00:00.297"
萬里區,警察機關,保安警察第二總隊國聖分隊,新北市萬里區野柳里八斗60號,02-24985144,http://www.spsh.gov.tw,316477.824,2788694.293,"2015-02-24 06:00:00.297"
萬里區,警察機關,保安仁和分隊,新北市萬里區野柳里八斗60號,02-24983798,,317747.0,2788028.0,"2015-02-24 06:00:00.297"
萬里區,公所,萬里區公所,新北市萬里區瑪鋉路123號,02-24922064,www.wanli.ntpc.gov.tw,319466.919,2785698.618,"2015-02-24 06:00:00.297"
萬里區,其他機關,新北市萬里區調解委員會,新北市萬里區瑪鋉路151號,02-24922064#207,,319456.803953,2785596.767017,"2015-02-24 06:00:00.297"
萬里區,警察機關,保安警察第二總隊二大三中,新北市萬里區八斗60號,02-24982844,,316477.824,2788694.293,"2015-02-24 06:00:00.297"
萬里區,警察機關,保安警察第二總隊仁和分隊,新北市萬里區八斗60號,02-24983798,,316477.824,2788694.293,"2015-02-24 06:00:00.297"
萬里區,國民小學,市立大坪國小,新北市萬里區雙興里大坪路1號,02-24929461,www.dpps.ntpc.edu.tw,314388.832867,2784450.82317,"2015-02-24 06:00:00.297"
萬里區,國民小學,市立大坪國小溪底分校,新北市萬里區溪底里富士坪7號,,,312629.857867,2783209.94061,"2015-02-24 06:00:00.297"
萬里區,國民小學,市立大鵬國小,新北市萬里區大鵬里加投路14號,02-24988131,www.tpes.ntpc.edu.tw,315586.827006,2789016.66603,"2015-02-24 06:00:00.297"
萬里區,國民小學,市立崁腳國小,新北市萬里區崁腳里崁腳路59號,02-24922037,www.kjps.ntpc.edu.tw,315495.827334,2783725.76233,"2015-02-24 06:00:00.297"
萬里區,國民小學,市立野柳國小,新北市萬里區野柳里港東路167號,02-24922512,www.ylps.ntpc.edu.tw,319477.263665,2788707.40742,"2015-02-24 06:00:00.297"
萬里區,國民小學,市立萬里國小,新北市萬里區瑪鍊路18號,02-24922034,www.wlps.ntpc.edu.tw,319456.850242,2785452.50589,"2015-02-24 06:00:00.297"
萬里區,國民中學,市立萬里國中,新北市萬里區獅頭路24號,02-24922053,www.wljhs.ntpc.edu.tw,320051.853814,2785619.45432,"2015-02-24 06:00:00.297"
萬里區,高中職,私立中華商業海事職業學校,新北市萬里區瑪鍊路15號,02-24922119,www.chmvs.ntpc.edu.tw,319065.845,2785683.496,"2015-02-24 06:00:00.297"
萬里區,高中職,私立中華商海,新北市萬里區瑪鍊路15號,02-24922119,www.chmvs.ntpc.edu.tw,319065.845394,2785683.49589,"2015-02-24 06:00:00.297"
萬里區,公共親子中心,萬里野柳公共親子中心,新北市萬里區野柳里港東路167號,02-24922512分機12,NULL,319479.263665,2788705.40742,"2015-02-24 06:00:00.297"
八里區,戶政機關,新北市五股戶政事務所八里區所,新北市八里區訊塘路39號,02-26102204,www.bali.ris.ntpc.gov.tw,290069.143,2782032.852,"2015-02-24 06:00:00.297"
八里區,衛生機關,新北市八里區衛生所,新北市八里區舊城里舊城路16號,02-26012137,bali.health.ntpc.gov.tw,290320.0,2782126.0,"2015-02-24 06:00:00.297"
八里區,消防機關,新北市八里消防分隊,新北市八里區中山路二段76號,02-26102718,www.fire.ntpc.gov.tw,291204.141961,2783154.18293,"2015-02-24 06:00:00.297"
八里區,消防機關,新北市龍源消防分隊,新北市八里區龍源里龍米路一段225號,02-26181730,www.fire.ntpc.gov.tw,295510.58526,2780500.95044,"2015-02-24 06:00:00.297"
八里區,其他機關,八里區農會,新北市八里區中山路二段366號,02-26102996~8,,290428.0,2782290.0,"2015-02-24 06:00:00.297"
八里區,警察機關,龍源派出所,新北市八里區龍源里龍米路一段225號,02-26182245,www.lujhou.police.ntpc.gov.tw,295509.0,2780492.0,"2015-02-24 06:00:00.297"
八里區,警察機關,八里分駐所,新北市八里區訊塘路37號,02-26101315,www.luzhou.police.ntpc.gov.tw,290080.0,2782006.0,"2015-02-24 06:00:00.297"
八里區,公所,八里區公所,新北市八里區中山路二段356巷16號,02-26102621,www.bali.ntpc.gov.tw,290464.672,2782383.605,"2015-02-24 06:00:00.297"
八里區,其他機關,新北市八里區調解委員會,新北市八里區中山路90號,02-26102621#28,,291505.046804,2783287.706186,"2015-02-24 06:00:00.297"
八里區,警察機關,基隆港務警察局台北派出所,新北市八里區商港路120號,02-86302082,,289549.424,2782563.909,"2015-02-24 06:00:00.297"
八里區,教育研究機構,中華穀類食品工業技術研究所,新北市八里區下罟子12之6號,02-26101010,www.cgprdi.org.tw,288562.963954,2781277.78968,"2015-02-24 06:00:00.297"
八里區,國民小學,市立八里國小,新北市八里區舊城里中山路二段338號,02-26102217,www.ples.ntpc.edu.tw,290627.657383,2782432.97719,"2015-02-24 06:00:00.297"
八里區,國民小學,市立大崁國小,新北市八里區忠八街2號,02-86305678,www.tkes.ntpc.edu.tw,292362.762386,2783605.20742,"2015-02-24 06:00:00.297"
八里區,國民小學,市立米倉國小,新北市八里區龍米路二段129巷1號,02-26182202,www.mtes.ntpc.edu.tw,294902.765042,2782083.1318,"2015-02-24 06:00:00.297"
八里區,國民小學,市立長坑國小,新北市八里區長坑里12鄰中華路三段236號,02-26102037,www.ckes.ntpc.edu.tw,289335.240203,2779738.2043,"2015-02-24 06:00:00.297"
八里區,國民小學,私立聖心國小,新北市八里區龍米路一段261號,02-26182330,lshes.ntpc.edu.tw,295387.739874,2780685.25442,"2015-02-24 06:00:00.297"
八里區,國民中學,市立八里國中,新北市八里區荖阡坑路15號,02-26100606,www.pljhs.ntpc.edu.tw,290450.144815,2781261.12293,"2015-02-24 06:00:00.297"
八里區,高中職,私立聖心女中,新北市八里區龍米路一段263號,02-26182287,www.shgsh.ntpc.edu.tw,295159.752551,2780828.25748,"2015-02-24 06:00:00.297"
